PIB,X1,X2,X3
2.904824143,0.591791019,-0.196626745,2
2.904824143,0.623997792,-0.196626745,2
2.904824143,0.447348422,-0.196626745,2
2.904824143,0.821141699,-1.429313749,2
2.904824143,1.451614274,-2.183644602,2
2.904824143,1.399888244,-0.196626745,2
2.904824143,1.027070442,-0.196626745,2
2.904824143,0.651324459,-0.196626745,2
2.904824143,0.525425448,-0.196626745,2
2.904824143,0.469795665,-0.196626745,2
2.904824143,0.340968473,-1.429313749,2
2.904824143,0.708906363,-2.183644602,2
2.904824143,0.725497731,-0.196626745,2
2.904824143,1.496508564,-0.249144319,3
2.904824143,1.514075895,-0.249144319,3
2.904824143,1.432095017,-0.249144319,3
2.904824143,1.468205642,-0.249144319,3
2.904824143,1.716100201,-1.468032588,3
2.904824143,0.949969378,-2.213919439,3
2.904824143,0.962656895,-0.249144319,3
2.904824143,0.967536709,-0.249144319,3
2.904824143,1.350114139,-0.249144319,3
2.904824143,1.479917098,-0.249144319,3
2.904824143,1.231046674,-0.249144319,3
2.904824143,0.664012268,-1.468032588,3
2.904824143,0.599598721,-2.213919439,3
2.904824143,0.880675919,-0.249144319,3
2.904824143,1.014382925,-0.249144319,3
2.904824143,0.69914693,-0.249144319,3
2.904824143,0.407333848,-0.249144319,3
2.904824143,-0.13920524,-0.249144319,3
2.904824143,0.690363265,-1.468032588,3
2.904824143,0.793815325,-2.213919439,3
2.904824143,0.679627381,-0.249144319,3
2.904824143,1.109051124,-0.249144319,3
2.904824143,0.756435948,-0.249144319,3
2.904824143,0.505905997,-0.249144319,3
2.904824143,1.150041368,-2.213919439,3
2.904824143,0.89043545,-2.213919439,3
2.904824143,0.513713894,-2.213919439,3
2.904824143,0.188717783,-0.249144319,3
2.904824143,0.584959279,-0.249144319,3
2.904824143,0.358535902,-0.249144319,3
2.904824143,0.050131354,-0.249144319,3
2.842714416,-0.070888037,-0.144109171,4
2.842714416,0.002309175,-1.39059491,4
2.842714416,-0.023065761,-2.153369765,4
2.842714416,-0.470056836,-0.144109171,4
2.842714416,-0.784316672,-0.144109171,4
2.842714416,-0.124566286,-0.144109171,4
2.842714416,-0.421551776,-0.144109171,4
2.842714416,-0.612547312,-0.144109171,4
2.842714416,-0.245585775,-1.39059491,4
2.842714416,0.110641342,-2.153369765,4
2.842714416,0.153973799,-0.144109171,4
2.842714416,-0.268032237,-0.144109171,4
2.842714416,0.112300479,-0.144109171,4
2.842714416,0.566415985,-0.144109171,4
2.842714416,0.37512727,-0.144109171,4
2.842714416,-0.836043093,-1.39059491,4
2.842714416,-0.745278452,-2.153369765,4
2.842714416,-1.284985898,-0.144109171,4
2.842714416,-0.497383697,-0.144109171,4
